letter_number,entity_name,entity_type
063,Josiah  Taylor,PERSON
063,Jane,PERSON
063,Tom,PERSON
064,Badwell,PERSON
064,Tyler,PERSON
064,G.  B.  on  one,PERSON
064,Robertson,PERSON
064,Ravenel,PERSON
064,Tom,PERSON
065,Gladden,PERSON
065,Richardson,PERSON
065,Robert  Allston,PERSON
065,Huger,PERSON
065,Abbeville,LOCATION
065,Badwell,PERSON
066,JANE  PETIGRU,PERSON
066,Charleston,LOCATION
066,Jane,PERSON
066,Gray,PERSON
066,Hamilton,PERSON
066,Thurston,PERSON
066,Thurston,LOCATION
066,Mary,PERSON
066,Louise,PERSON
066,Jane,PERSON
067,JANE  PETIGRU,PERSON
067,Savannah,LOCATION
067,John  Postell,PERSON
067,John,PERSON
067,Ma,PERSON
068,George  Street,PERSON
068,Sue,PERSON
068,Sue,PERSON
068,Anne  Deas,PERSON
068,Sally,PERSON
068,Nathan  Davis,PERSON
068,Kate,PERSON
068,Adieu,PERSON
068,Sue,PERSON
068,Henry,PERSON
069,Charleston,LOCATION
069,Tyler,PERSON
069,Sue,PERSON
069,Lowndes,PERSON
069,Sue,PERSON
069,Island,LOCATION
070,THOMAS  PETIGRU,PERSON
070,Calhoun,PERSON
070,Georgia,LOCATION
071,New  York,LOCATION
071,Whigs,LOCATION
072,"JANE PETIGRU NORTH
DATE",PERSON
072,Smith,LOCATION
072,Tennessee,LOCATION
073,THOMAS PETIGRU,PERSON
073,Allston,LOCATION
073,Buchanan,PERSON
073,Aiken,PERSON
073,Columbia,LOCATION
073,Boyce,LOCATION
073,Haigler,PERSON
073,Matthew,PERSON
073,Aiken,PERSON
073,Haigler,PERSON
073,Boyce,LOCATION
073,Boyce,LOCATION
073,Hoarf,LOCATION
073,Kohne,LOCATION
073,Calhoun,PERSON
073,Hammond,LOCATION
074,JANE,PERSON
074,Tom],PERSON
074,Rice,PERSON
074,Timothy,PERSON
074,Barbara  Barquet,PERSON
074,Gourdin,PERSON
074,Preston,PERSON
074,Hamilton,PERSON
074,Rice,PERSON
075,JANE,PERSON
075,Abbeville,LOCATION
076,JANE,PERSON
076,Charleston,LOCATION
076,Jane,PERSON
076,Greenville,LOCATION
076,Cowden,LOCATION
076,Camden,LOCATION
076,Texas,LOCATION
076,Arthur,PERSON
076,Middleton,PERSON
076,Timothy,PERSON
076,John  Huger,PERSON
076,John,PERSON
076,Margaret,PERSON
076,Island,LOCATION
076,Carson,PERSON
076,Caroline,LOCATION
076,Sue,PERSON
076,Martha,PERSON
076,Kinloch,PERSON
076,Bowman,PERSON
076,Mary,PERSON
077,"SUSAN PETIGRU KING
LOCATION",PERSON
077,White Sulphur,PERSON
077,Warm  Springs,LOCATION
077,Caroline,PERSON
077,Allegheny,LOCATION
077,Jerome  Bonaparte,PERSON
077,Edward  North,PERSON
077,Matt  Singleton,PERSON
077,Caroline,LOCATION
077,Bull,PERSON
077,Singleton,LOCATION
077,Martha,PERSON
077,Singleton,LOCATION
077,Caroline,PERSON
077,Caroline,PERSON
077,Singleton,LOCATION
